Tournament_ID,Match_ID,Team_1,Team_2,Toss_Won_By,Winner,Match_Won_by,1st_innings_score,2nd_innings_score,Overs_1st,Overs_2nd,1st_innings_wicket,2nd_innings_wicket,
M092, M092001,New Zealand,Australia,New Zealand,New Zealand, Defending,248,211,50,48.1,6,10,
M092, M092002,England,India,England,England, Defending,236,227,50,49.2,9,10,
M092, M092003,Zimbawe,Sri Lanka,Sri Lanka,Sri Lanka,Chasing,312,313,50,49.2,4,7,
M092, M092004,Pakistan,West Indies,West Indies,West Indies,Chasing,220,221,50,46.5,2,0,
M092, M092005,Sri Lanka,New Zealand,New Zealand,New Zealand,Chasing,206,210,50,48.2,9,4,
M092, M092006,Australia,South Africa,Australia,South Africa,Chasing,170,171,49,46.5,9,1,
M092, M092007,Pakistan,Zimbawe,Zimbawe,Pakistan,Defending,254,201,50,50,4,7,
M092, M092008,West Indies,England,England,England,Chasing,157,160,50,39.5,10,4,
M092, M092009,India,Sri Lanka,Sri Lanka,Null,Null,1,0,Null,Null,0,0,
M092, M092010,South Africa,New Zealand,South Africa,New Zealand,Chasing,190,191,50,34.3,7,3,
M092, M092011,West Indies,Zimbawe,West Indies,West Indies,Defending,264,189,50,50,8,7,
M092, M092012,Australia,India,Australia,Australia,Defending,237,234,50,47,9,10,
M092, M092013,Pakistan,England,England,Null,Null,74,24,Null,Null,10,1,
M092, M092014,South Africa,Sri Lanka,Sri Lanka,Sri Lanka,Chasing,195,198,50,49.5,10,7,
M092, M092015,New Zealand,Zimbawe,Zimbawe,New Zealand,Defending,162,105,20.5,18,3,7,
M092, M092016,India,Pakistan,India,India,Defending,216,173,49,48.1,7,10,
M092, M092017,South Africa,West Indies,West Indies,South Africa,Defending,200,136,50,38.4,8,10,
M092, M092018,Australia,England,Australia,England,Chasing,171,173,50,40.5,10,2,
M092, M092019,India,Zimbawe,India,India,Defending,203,104,32,19,7,1,
M092, M092020,Sri Lanka,Australia,Australia,Australia,Chasing,189,190,50,44,9,3,
M092, M092021,West Indies,New Zealand,New Zealand,New Zealand,Chasing,203,206,50,48.3,7,5,
M092, M092022,South Africa,Pakistan,Pakistan,South Africa,Defending,211,173,50,36,7,8,
M092, M092023,England,Sri Lanka,England,England,Defending,280,174,50,44,6,10,
M092, M092024,India,West Indies,India,West Indies,Chasing,197,195,50,40.2,10,5,
M092, M092025,Zimbawe,South Africa,South Africa,South Africa,Chasing,163,164,50,45.1,10,3,
M092, M092026,Pakistan,Australia,Pakistan,Pakistan,Defending,220,172,50,45.2,9,10,
M092, M092027,India,New Zealand,New Zealand,New Zealand,Chasing,230,231,50,47.1,6,6,
M092, M092028,South Africa,England,England,England,Chasing,236,226,50,40.5,4,7,
M092, M092029,West Indies,Sri Lanka,Sri Lanka,West Indies,Defending,268,177,50,50,8,9,
M092, M092030,Australia,Zimbawe,Australia,Australia,Defending,265,137,46,41.4,6,10,
M092, M092031,England,New Zealand,New Zealand,New Zealand,Chasing,200,201,50,40.5,8,3,
M092, M092032,India,South Africa,South Africa,South Africa,Chasing,180,181,30,29.1,6,4,
M092, M092033,Sri Lanka,Pakistan,Sri Lanka,Pakistan,Chasing,212,216,50,49.1,6,6,
M092, M092034,New Zealand,Pakistan,Pakistan,Pakistan,Chasing,166,167,50,44.4,10,3,
M092, M092035,Zimbawe,England,England,Zimbawe,Defending,134,125,50,42.4,10,10,
M092, M092036,Australia,West Indies,Australia,Australia,Defending,216,159,50,42.4,6,10,
M092, M092037,New Zealand,Pakistan,New Zealand,Pakistan,Chasing,262,264,50,49,7,6,
M092, M092038,England,South Africa,South Africa,England,Defending,252,232,45,43,6,6,
M092, M092039,Pakistan,England,Pakistan,Pakistan,Defending,249,227,50,49.2,6,10,
